cities,tourist places
Erode,Thindal Murugan Temple
Erode,Vellode Birds Sanctuary
Dharmapuri,Hogenakkal Waterfalls
Dharmapuri,Hogenakkal Coracle Boat Point
Dharmapuri,Theerthamalai Sacred Temple
Dharmapuri,Subramanya Siva Memorial
Theni,Suruli Waterfalls
Theni,Meghamalai Highwavys Mountain
Theni,Kumbakkarai Waterfalls
Theni,Vaigai Dam & Park
Theni,Chinna Suruli Falls
Dindigul,Dindigul Rock Fort
Dindigul,Sirumalai Hills Viewpoint
Dindigul,Sanjeevani Hills Dindigul
Dindigul,Palani Murugan Temple
Dindigul,Kamarajar Sagar Dam
Karur,Kalyana Venkataramanaswamy Temple
Karur,Pugazhimalai Murugan Temple
Karur,Mayanur Barrage & Park
Karur,Nerur Sadhasiva Brahmendral Jeeva Samadhi
Villupuram,Gingee Fort
Villupuram,Thirukovilur Ulagalantha Perumal Temple
Villupuram,Melmalayanur Angala Parameswari Temple
Villupuram,Mylam Murugan Temple
Namakkal,Namakkal Fort
Namakkal,Namakkal Anjaneyar Temple
Namakkal,Narasimha Swamy Temple
Namakkal,Kolli Hills (70 Hairpin Bends)
Namakkal,Agaya Gangai Waterfalls
Krishnagiri,Krishnagiri Dam
Krishnagiri,Krishnagiri Fort & Hills
Krishnagiri,Sayeed Basha Hill & Dargah
Krishnagiri,KRP Dam Botanical Park
Nagapattinam,Basilica of Our Lady of Good Health (Velankanni)
Nagapattinam,Nagore Dargah Shrine
Nagapattinam,Soundararaja Perumal Temple
Nagapattinam,Nagapattinam Beach & Lighthouse
Pudukkottai,Sacred Heart Church
Pudukkottai,Sittannavasal Cave & Rock-Cut Jain Monument
Pudukkottai,Thirumayam Fort & Rock Cut Temple
Pudukkottai,Pudukkottai Palace & Government Museum
Pudukkottai,Avudaiyarkoil Athmanathaswamy Temple

Sivaganga,Chettinad Palace (Kanadukathan)
Sivaganga,Pillayarpatti Karpaga Vinayagar Temple
Sivaganga,Kundrakudi Shanmuganathar Murugan Temple
Sivaganga,Vairavanpatti Temple
Tiruppur,Sivanmalai Murugan Temple
Tiruppur,Thirumoorthy Hills & Amanalingeswarar Temple
Tiruppur,Amaravathi Dam & Crocodile Sanctuary
Tiruppur,Nanjarayan Tank Bird Sanctuary
Virudhunagar,Srivilliputhur Andal Temple & Rajagopuram
Virudhunagar,Ayyanar Falls
Virudhunagar,Pilavakkal Dam
Virudhunagar,Bhadrakali Amman Temple Sivakasi
Thoothukudi,Our Lady of Snows Basilica
Thoothukudi,Tiruchendur Murugan Temple Beach Shrine
Thoothukudi,Hare Island & Lighthouse
Thoothukudi,Muthu Nagar Beach
Thoothukudi,Manapad Beach & Holy Cross Church
Cuddalore,Silver Beach Cuddalore
Cuddalore,Pichavaram Mangrove Forest & Boating
Cuddalore,Padaleeswarar Temple
Cuddalore,Veeranam Lake
Bangalore,Lalbagh Botanical Garden & Glass House
Bangalore,Cubbon Park & State Central Library
Bangalore,Bangalore Palace
Bangalore,Vidhana Soudha
Bangalore,ISKCON Temple Bangalore
Bangalore,Bannerghatta Biological Park & Safari
Bangalore,Visvesvaraya Industrial & Technological Museum
Bangalore,UB City & Luxury Boulevard
Mysore,Mysore Palace (Amba Vilas)
Mysore,Chamundi Hills & Chamundeshwari Temple
Mysore,Brindavan Gardens & Musical Fountain
Mysore,Sri Chamarajendra Zoological Gardens
Mysore,St. Philomena's Cathedral Mysore
Mysore,Jaganmohan Palace & Art Gallery
Mysore,Srirangapatna Fort & Ranganathaswamy Temple
Coorg,Abbey Falls Coorg
Coorg,Raja's Seat Sunset Garden
Coorg,Namdroling Monastery (Golden Temple Bylakuppe)
Coorg,Dubare Elephant Camp & River Crossing
Coorg,Talakaveri & Brahmagiri Peak
Coorg,Madikeri Fort & Palace Museum
Coorg,Mandalpatti Peak Jeep Safari
Coorg,Iruppu Falls
Hyderabad,Charminar & Laad Bazaar
Hyderabad,Golconda Fort & Sound and Light Show
Hyderabad,Hussain Sagar Lake & Buddha Statue
Hyderabad,Ramoji Film City
Hyderabad,Salar Jung Museum
Hyderabad,Chowmahalla Palace
Hyderabad,Birla Mandir Hyderabad
Mumbai,Gateway of India & Mumbai Harbour
Mumbai,Marine Drive & Queen's Necklace
Mumbai,Elephanta Caves UNESCO Monument
Mumbai,Chhatrapati Shivaji Maharaj Terminus (CSMT)
Mumbai,Juhu Beach & Sunset Boulevard
Mumbai,Shree Siddhivinayak Temple
Mumbai,Bandra-Worli Sea Link Viewpoint
Mumbai,Sanjay Gandhi National Park & Kanheri Caves
Delhi,Qutub Minar & Mehrauli Archaeological Park
Delhi,Red Fort (Lal Qila)
Delhi,Humayun's Tomb UNESCO Site
Delhi,India Gate & Kartavya Path
Delhi,Lotus Temple (Bahai House of Worship)
Delhi,Swaminarayan Akshardham Temple
Delhi,Jama Masjid Delhi
Delhi,Rashtrapati Bhavan & Mughal Gardens
Jaipur,Hawa Mahal (Palace of Winds)
Jaipur,Amer Fort & Palace
Jaipur,City Palace Jaipur
Jaipur,Jantar Mantar Astronomical Observatory
Jaipur,Nahargarh Fort & Sunset Point
Jaipur,Jal Mahal (Water Palace)
Jaipur,Jaigarh Fort & Jaivana Cannon
Jaipur,Albert Hall Museum
Kolkata,Victoria Memorial Hall & Gardens
Kolkata,Howrah Bridge & River Hooghly
Kolkata,Dakshineswar Kali Temple
Kolkata,Indian Museum Kolkata
Kolkata,Belur Math Ramakrishna Mission
Kolkata,Science City Kolkata
Kolkata,Eden Gardens Stadium & Maidan
Manali,Solang Valley Adventure Sports
Manali,Rohtang Pass & Snow Mountain Point
Manali,Hadimba Devi Temple & Cedar Forest
Manali,Jogini Waterfalls Trek
Manali,Atal Tunnel Viewpoint
Manali,Vashisht Hot Water Springs & Temple
Manali,Old Manali Cafe Street
Shimla,The Ridge & Christ Church Shimla
Shimla,Mall Road Shimla
Shimla,Jakhu Temple & Giant Hanuman Statue
Shimla,Kufri Snow & Adventure Fun World
Shimla,Viceregal Lodge & Botanical Gardens
Shimla,Tara Devi Temple Shimla
Dharamshala,Tsuglagkhang Complex (Dalai Lama Temple)
Dharamshala,Bhagsu Waterfall & Bhagsunath Temple
Dharamshala,Triund Trek Ridge Viewpoint
Dharamshala,HPCA International Cricket Stadium
Dharamshala,Namgyal Monastery McLeodGanj
Dharamshala,St. John in the Wilderness Church
Palakkad,Palakkad Fort (Tipu Sultan's Fort)
Palakkad,Malampuzha Dam & Rock Garden
Palakkad,Kava View Point Palakkad
Palakkad,Chulanur Peafowl Sanctuary
Palakkad,Kalpathy Heritage Village & Temple
Valparai,Sholayar Dam & Reservoir View
Valparai,Monkey Falls Pollachi Road
Valparai,Chinna Kallar Waterfall
Valparai,Nallamudi Viewpoint & Tea Valleys
Valparai,Balaji Temple Valparai
Valparai,Karamalai Tea Estate & Church
Paris,Eiffel Tower & Champ de Mars
Paris,Louvre Museum & Glass Pyramid
Paris,Notre-Dame Cathedral
Paris,Arc de Triomphe & Champs-Elysees
Paris,Sacre-Coeur Basilica Montmartre
Paris,Musee d'Orsay
Paris,Palace of Versailles
Paris,Seine River Cruise
London,Tower Bridge & Tower of London
London,Big Ben & Westminster Abbey
London,British Museum
London,London Eye Observation Wheel
London,Buckingham Palace & Changing of the Guard
London,Hyde Park & Kensington Palace
Tokyo,Senso-ji Ancient Temple Asakusa
Tokyo,Shibuya Crossing & Hachiko Statue
Tokyo,Tokyo Skytree Panoramic Deck
Tokyo,Meiji Shrine & Yoyogi Forest
Tokyo,teamLab Planets Digital Art Museum
Tokyo,Shinjuku Gyoen National Garden
Dubai,Burj Khalifa & Observation Deck
Dubai,Dubai Mall & Dubai Fountain
Dubai,Museum of the Future
Dubai,Palm Jumeirah & Atlantis
Dubai,Dubai Frame
Dubai,Desert Safari Camp & Dunes
Dubai,Dubai Marina Promenade
Rome,Colosseum & Roman Forum
Rome,Trevi Fountain & Spanish Steps
Rome,Pantheon Rome
Rome,Vatican Museums & St. Peter's Basilica
Rome,Piazza Navona
New York,Central Park & Bethesda Terrace
New York,Empire State Building Observation Deck
New York,Statue of Liberty & Ellis Island
New York,Times Square & Broadway
New York,Brooklyn Bridge Walkway
New York,Metropolitan Museum of Art (The Met)
